Word,frequency
بهتره,0.9824533886513698
امان,1.9649067773027398
دلِ,4.912266943256849
چه,0.765980608101068
حالی,0.8402561876623559
گفته,0.8337333802775387
انسان,1.0281488951002709
در,0.7469684269385415
دوران,1.182582782635908
مبتلا,7.368400414885274
ميشن,19.649067773027397
جوون,0.8771905255815802
نسل,1.1461956200932648
حاضر,0.7017524204652642
كه,10.086521456820732
همو,1.0916148762792999
فراموش,1.2631543568374757
‏ما,7.719276625117906
چشاش,2.4561334716284247
آهنگا,4.912266943256849
درباره,0.8502000478713777
چشه,3.684200207442637
رنگی,0.8931394442285181
چش,3.070166839535531
اومد,0.5970711201748656
شد,0.816281747247429
راجع,1.1461956200932648
خالی,1.3573369185314978
بعضیا,1.6018261771489728
انقد,1.5629940273999068
بزرگه,2.4561334716284247
