Word,Count
صاحب,38
اکانته,1
‏آدم,12
فضائيا,1
فال,16
حافظ,27
ميزنن,2
بيت,2
براشون,53
مياد,31
کسی,526
دوسش,32
داری,225
طولانی,27
قهر,45
نکن,69
میگیره,87
ساعت6,1
صبح,371
وخابالو,1
بیدار,193
ببینم,78
اینا,218
خواب,219
بوده،,22
لیوان,32
میخورم,37
میخوابم,12
رفیقتون,2
گوشی,137
نو,67
خریده,31
مدت,112
مکالمات,3
هی,161
بگید,73
صدات,6
نمیاد,83
آنتن,6
نداری,71
قبل,276
عید,384
خوبیه,16
برین,22
کسایی,57
قبلا,38
ازشون,49
بدتون,4
میومده,4
یادآوری,19
کنید,366
هنوز,280
حس,193
دارین,46
هركسي,3
نگين,1
رفيق,1
خيليا,3
ارزششو,2
ندارن,94
والدین,18
خود,278
بیاموزید,4
ویدئویی,8
تلگرام,93
را,839
دانلود,24
نکنند،,1
کردند,40
نبینند,2
دیدند,1
نشان,30
ندهند,2
منتظرم,22
ماه,389
عسل,17
امسال,182
احسان,19
علیخانی,14
سیامک,1
انصاری,4
بپرسه,8
چی,500
نرفتی,4
توییتر,34
رفتیم,100
مهمونی,89
می,470
پریدن,8
بالا,179
پایین,104
ازخودشون,2
صدای,145
گوز,7
درمی,2
آوردن،ازیکی,1
پرسیدم,66
میگن؟,7
کاکوبند,3
میخونن,10
حفظی,1
توام,12
بخون,12
موبایل,24
داشت,306
فریاد,9
میزد,54
دهه,55
50ست،,1
عادی,47
صحبت,97
میکرد,140
60،,1
یواش,13
دهه70،,1
پچ,2
80,3
بعده,2
نقش,32
اقايون,1
خريد,8
عيد😁,1
توالت,51
خانه‌ی,3
جایی,114
است,572
هیچ,412
غربتی,2
بهش,489
ندارد,35
‏لعنت,3
بر,341
آلارمي,1
بي,16
موقع,250
شود,76
بهشت,44
صبحانه,10
کله,37
پاچه,23
میدن،,10
نهار,12
قرمه,21
سبزی،,4
شام,66
پیتزا,35
تفریح,15
خورشت,16
کرفس,9
خوردن,87
جهنمی,2
هارو,47
‏وضعیت,10
سایه,12
خودم,317
وابسته,12
بشم,54
بفهمه،منو,1
میره,197
‏با,52
‏بعد,23
كار,24
توى,13
معدن,5
زندگى,15
كردن,42
خيلى,21
سخته,34
‏کم,3
فطرت,1
فحشه؟,1
‏واسه,11
خیلیا,21
سنگ,56
صبور,5
بودیم,141
پای,56
منفعت,3
وسط،,1
سنگی,2
پاشون,6
بیاد،,9
راهشون,3
پرتمون,3
‏هرچقدر,1
سنمون,2
بالاتر,26
اینکه,510
اجتماعی,60
تر,163
بشیم,30
فرو,17
افسرده,21
بیحوصله,2
....,53
‏اونایی,8
ک,122
دنیای,25
مجازی,70
نتونستن,5
خوب,368
معتقدن,7
ب,42
دردی,10
نمیخوره,17
برن,64
شخصیت,41
مجازیشون,1
پیگیری,8
‏اونجایی,2
خُرم,1
آن,126
کزین,1
منزل,18
ویران,3
بروم،,1
عین,65
دلگرمی,2
می‌ریزی,1
‏هر,36
وقت,303
خواستین,4
آدمارو,5
سلول,7
هاتون,24
بشناسین،,1
وسط,192
بیاید,33
شیک,17
مجلسی,5
خبیثشون,1
میدن,126
باشی,138
اونم,121
دوستت,43
تعجب,30
داره,930
نهایت,35
خونمون,54
خالیه,20
‏تنها,31
راهی,23
میتونم,41
قرض,30
بدهی,5
هام,30
صاف,24
بمیرم,22
لش,8
تخت,50
بيدار,10
شدن,375
بهترين,11
لشينگاي,1
دنياست,1
سری,126
بابابزرگم,15
اومدگفت,2
حمید,36
نمیخوای,9
کنی؟دوست,1
دارم,510
نتیجه,74
هامو,3
میگفت,208
بدی,118
دامپزشکی,5
مریضت,1
نمیگه,12
کجاش,2
حیوونا,6
راحتتر,5
بعضی,104
آدماس,1
مواد,41
محترقه,8
بهترین,153
آنالیز,2
شخصیتی,6
فرد،,1
دوستان,89
نزدیکشه,2
بچه‌های,12
درسشونو,1
انلاین,9
پیانو,11
پلی,34
استیشن,6
بازی,282
بین,200
انگشتمون,1
غده,3
درمیومد,1
مشق,1
داشتیم,90
همیشه,277
دستفروشی,3
بخر,12
همینکه,9
نرفته,11
آبروییه,1
میتونه,90
خستگی,15
بشوره,11
ببره,28
آجیلاس,1
اتوبوس,29
نفر,503
بغلیش,3
ابتدای,5
بلوار,4
لاله,3
شو.میشه,1
راهنماییم,1
کنید؟,10
حتی,312
توی,507
ایستگاه,19
کل,126
صندلی,30
مترو,64
بشه,304
امکان,38
بشینم,13
احتمالا,68
سالمندان,15
اردو,6
ببرن,13
کارموقعی,1
بد,124
بنظر,8
دیگران,45
بخودت,1
میرسه,53
میتونی,48
راحت,125
توجیهش,1
کنی,286
بچه,560
فامیلمون,13
دنیا,215
اومده,179
واسش,23
12میلیون,1
سیسمونی,2
.اونوقت,1
3,21
سالگی,64
بیمارستان,114
گرو,3
بیارن,13
داستان,48
اونجا,140
خراب,56
بزرگتر,21
شدیم,66
آرزوشو,1
شايد,11
حالم,32
نتونم,4
بخندم،,1
يادم,4
نميره,5
كی,1
سعی,86
بخندونتم,1
اجازه,107
نمیدم,8
اینطور,13
شه,184
نمیشه,188
۲۲,12
بهمن,7
جمعه,94
شهادت,5
پنج‌شنبه,1
عیدم,1
تابستون,32
😒😒,1
خواستیم,4
نیمه,42
گمشدمونو,1
خودمونم,4
گم,42
کردیم,104
گفتنا,1
دهنمون,2
فکرمون,1
بیفته,15
انتخاب,113
دختر/دوست,1
پسر,235
سايز,3
كمد,1
اتاقتون,2
نظر,148
بگيرين,1
قیامت,5
خدا,269
میزش,2
نشسته,88
نامه,23
میبینه,34
عینکشو,2
میاره,39
یکم,108
چشماشو,4
میمالونه,1
بغلم,10
تف,20
زندگی‌ای,2
درستش,15
جوونی,9
پولدار,39
کم,260
میدادیم,8
،نه,2
بدست,8
بیاریم,16
جوونیمون,1
يهو,15
مياي,3
ميبيني,3
شدي,1
اوني,5
نميخواستي,1
اينكه,28
اشرف,7
مخلوقاته,1
معنى,2
نيست,47
حاليشه،,1
صرفا,17
يعنى,3
ساير,1
مخلوقات,8
اعم,5
